No.,Channel Type,Channel Alias,Rx Frequency,Tx Frequency,Tx Power,TOT,VOX,VOX Level,Scan Add/Step,Channel Work Alone,Default to Talkaround,Band Width,Dec QT/DQT,Enc QT/DQT,Tx Authority,Relay,Work Mode,Slot,ID Setting,Color Code,Encryption,Encryption Type,Encryption Key,Promiscuous,Tx Authority,Kill Code,WakeUp Code,Contacts,Rx Group Lists,Group Lists 1,Group Lists 2,Group Lists 3,Group Lists 4,Group Lists 5,Group Lists 6,Group Lists 7,Group Lists 8,Group Lists 9,Group Lists 10,Group Lists 11,Group Lists 12,Group Lists 13,Group Lists 14,Group Lists 15,Group Lists 16,Group Lists 17,Group Lists 18,Group Lists 19,Group Lists 20,Group Lists 21,Group Lists 22,Group Lists 23,Group Lists 24,Group Lists 25,Group Lists 26,Group Lists 27,Group Lists 28,Group Lists 29,Group Lists 30,Group Lists 31,Group Lists 32,Group Lists 33,GPS,Send GPS Info,Receive GPS Info,GPS Timing Report,GPS Timing Report TX Contacts,
9,Analog CH,PMR 6,446.06875,446.06875,Low,180S,No,1,No,No,No,25K,None,None,Allow TX,Yes,Simplex,Slot1,radio-2,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: TG2 Europe,DMR-FR,Priority Contacts: F1ZGO TG208 FR,Priority Contacts: TG8 Region,Priority Contacts: TG21 EU French,Priority Contacts: TG208 FR TS1,Priority Contacts: TG9 LCL TS2,Priority Contacts: TG11 WW French,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Yes,No,OFF,TX Contact,
10,Analog CH,PMR 7,446.08125,446.08125,Low,180S,No,1,No,No,No,25K,None,None,Allow TX,Yes,Simplex,Slot1,radio-2,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: TG2 Europe,DMR-FR,Priority Contacts: F1ZGO TG208 FR,Priority Contacts: TG8 Region,Priority Contacts: TG21 EU French,Priority Contacts: TG208 FR TS1,Priority Contacts: TG9 LCL TS2,Priority Contacts: TG11 WW French,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Yes,No,OFF,TX Contact,
11,Analog CH,PMR 8,446.09375,446.09375,Low,180S,No,1,No,No,No,25K,None,None,Allow TX,Yes,Simplex,Slot1,radio-2,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: TG2 Europe,DMR-FR,Priority Contacts: F1ZGO TG208 FR,Priority Contacts: TG8 Region,Priority Contacts: TG21 EU French,Priority Contacts: TG208 FR TS1,Priority Contacts: TG9 LCL TS2,Priority Contacts: TG11 WW French,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Yes,No,OFF,TX Contact,
12,Digital CH,DMR1 TG9,400.00000,400.00000,Low,75S,No,1,No,No,No,25K,None,None,Allow TX,No,Repeat,Slot2,radio-1,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: TG9 LCL TS2,RX ALL,Priority Contacts: TG9 LCL TS2,Priority Contacts: TG99 Simplex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,Yes,OFF,TX Contact,
13,Digital CH,DMR1 TG208,400.00000,400.00000,Low,75S,No,1,No,No,No,25K,None,None,Allow TX,No,Repeat,Slot1,radio-1,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: TG208 FR TS1,RX ALL,Priority Contacts: TG9 LCL TS2,Priority Contacts: TG99 Simplex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,Yes,OFF,TX Contact,
14,Digital CH,DMR1 TG937,400.00000,400.00000,Low,75S,No,1,No,No,No,25K,None,None,Allow TX,No,Repeat,Slot1,radio-1,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: TG937 FR,RX ALL,Priority Contacts: TG9 LCL TS2,Priority Contacts: TG99 Simplex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,OFF,TX Contact,
15,Digital CH,DMR1 2082,400.00000,400.00000,Low,75S,No,1,No,No,No,25K,None,None,Allow TX,No,Repeat,Slot1,radio-1,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: TG2082 ALPES TS2,RX ALL,Priority Contacts: TG9 LCL TS2,Priority Contacts: TG99 Simplex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,Yes,OFF,TX Contact,
16,Digital CH,DMR1 2081,400.00000,400.00000,Low,75S,No,1,No,No,No,25K,None,None,Allow TX,No,Repeat,Slot1,radio-1,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: TG2081 PACA TS2,RX ALL,Priority Contacts: TG9 LCL TS2,Priority Contacts: TG99 Simplex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,Yes,OFF,TX Contact,
17,Digital CH,DMR1 2083,400.00000,400.00000,Low,75S,No,1,No,No,No,25K,None,None,Allow TX,No,Repeat,Slot1,radio-1,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: TG2083 MIDI TS2,RX ALL,Priority Contacts: TG9 LCL TS2,Priority Contacts: TG99 Simplex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,Yes,OFF,TX Contact,
18,Digital CH,DMR1 2084,400.00000,400.00000,Low,75S,No,1,No,No,No,25K,None,None,Allow TX,No,Repeat,Slot1,radio-1,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: TG2084 EST TS2,RX ALL,Priority Contacts: TG9 LCL TS2,Priority Contacts: TG99 Simplex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,Yes,OFF,TX Contact,
19,Digital CH,DMR1 2085,400.00000,400.00000,Low,75S,No,1,No,No,No,25K,None,None,Allow TX,No,Repeat,Slot1,radio-1,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: TG2085 OUEST TS2,RX ALL,Priority Contacts: TG9 LCL TS2,Priority Contacts: TG99 Simplex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,Yes,OFF,TX Contact,
20,Digital CH,DMR1 2086,400.00000,400.00000,Low,75S,No,1,No,No,No,25K,None,None,Allow TX,No,Repeat,Slot1,radio-1,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: TG2086 ATLAN TS2,RX ALL,Priority Contacts: TG9 LCL TS2,Priority Contacts: TG99 Simplex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,Yes,OFF,TX Contact,
21,Digital CH,DMR1 2087,400.00000,400.00000,Low,75S,No,1,No,No,No,25K,None,None,Allow TX,No,Repeat,Slot1,radio-1,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: TG2087 NORD TS2,RX ALL,Priority Contacts: TG9 LCL TS2,Priority Contacts: TG99 Simplex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,Yes,OFF,TX Contact,
22,Digital CH,DMR1 2088,400.00000,400.00000,Low,75S,No,1,No,No,No,25K,None,None,Allow TX,No,Repeat,Slot1,radio-1,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: TG2088 CENT TS2,RX ALL,Priority Contacts: TG9 LCL TS2,Priority Contacts: TG99 Simplex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,Yes,OFF,TX Contact,
23,Digital CH,DMR1 2089,400.00000,400.00000,Low,75S,No,1,No,No,No,25K,None,None,Allow TX,No,Repeat,Slot1,radio-1,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: TG2089 DOM TS2,RX ALL,Priority Contacts: TG9 LCL TS2,Priority Contacts: TG99 Simplex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,Yes,OFF,TX Contact,
24,Digital CH,DMR1 20859,400.00000,400.00000,Low,75S,No,1,No,No,No,25K,None,None,Allow TX,No,Repeat,Slot1,radio-1,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: TG20859 LILLE,RX ALL,Priority Contacts: TG9 LCL TS2,Priority Contacts: TG99 Simplex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,Yes,OFF,TX Contact,
25,Digital CH,DMR1 LOGOUT,400.00000,400.00000,Low,75S,No,1,No,No,No,25K,None,None,Allow TX,No,Repeat,Slot1,radio-1,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: Disconnect,RX ALL,Priority Contacts: TG9 LCL TS2,Priority Contacts: TG99 Simplex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,Yes,OFF,TX Contact,
26,Digital CH,DMR1 STATUT,400.00000,400.00000,Low,75S,No,1,No,No,No,25K,None,None,Allow TX,No,Repeat,Slot1,radio-1,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: Status,RX ALL,Priority Contacts: TG9 LCL TS2,Priority Contacts: TG99 Simplex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,Yes,OFF,TX Contact,
27,Digital CH,DMR1 ECHO,400.00000,400.00000,Low,75S,No,1,No,No,No,25K,None,None,Allow TX,No,Repeat,Slot1,radio-1,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: Echo Parrot,RX ALL,Priority Contacts: TG9 LCL TS2,Priority Contacts: TG99 Simplex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,Yes,OFF,TX Contact,
28,Digital CH,DMR1 URGENCE,400.00000,400.00000,Low,75S,No,1,No,No,No,25K,None,None,Allow TX,No,Repeat,Slot1,radio-1,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: TG20820 URGENCE,RX ALL,Priority Contacts: TG9 LCL TS2,Priority Contacts: TG99 Simplex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,Yes,OFF,TX Contact,
29,Digital CH,DMR1 20821,400.00000,400.00000,Low,75S,No,1,No,No,No,25K,None,None,Allow TX,No,Repeat,Slot1,radio-1,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: TG20821 CORSE,RX ALL,Priority Contacts: TG9 LCL TS2,Priority Contacts: TG99 Simplex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,Yes,OFF,TX Contact,
30,Digital CH,S1 DMR-U,433.60000,433.60000,Low,75S,No,1,No,No,No,25K,None,None,Allow TX,No,Repeat,Slot1,radio-1,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: TG99 Simplex,RX ALL,Priority Contacts: TG9 LCL TS2,Priority Contacts: TG99 Simplex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,Yes,OFF,TX Contact,
31,Digital CH,S2 DMR-U,433.62500,433.62500,Low,75S,No,1,No,No,No,25K,None,None,Allow TX,No,Repeat,Slot1,radio-1,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: TG99 Simplex,RX ALL,Priority Contacts: TG9 LCL TS2,Priority Contacts: TG99 Simplex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,Yes,OFF,TX Contact,
32,Digital CH,S3 DMR-U,433.65000,433.65000,Low,75S,No,1,No,No,No,25K,None,None,Allow TX,No,Repeat,Slot1,radio-1,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: TG99 Simplex,RX ALL,Priority Contacts: TG9 LCL TS2,Priority Contacts: TG99 Simplex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,Yes,OFF,TX Contact,
33,Digital CH,S4 DMR-U,433.67500,433.67500,Low,75S,No,1,No,No,No,25K,None,None,Allow TX,No,Repeat,Slot1,radio-1,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: TG99 Simplex,RX ALL,Priority Contacts: TG9 LCL TS2,Priority Contacts: TG99 Simplex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,Yes,OFF,TX Contact,
34,Digital CH,S5 DMR-U,433.67500,433.67500,Low,75S,No,1,No,No,No,25K,None,None,Allow TX,No,Repeat,Slot1,radio-1,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: TG99 Simplex,RX ALL,Priority Contacts: TG9 LCL TS2,Priority Contacts: TG99 Simplex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,Yes,OFF,TX Contact,
35,Digital CH,S6 DMR-U,433.67500,433.67500,Low,75S,No,1,No,No,No,25K,None,None,Allow TX,No,Repeat,Slot1,radio-1,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: TG99 Simplex,RX ALL,Priority Contacts: TG9 LCL TS2,Priority Contacts: TG99 Simplex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,OFF,TX Contact,
36,Digital CH,S7 DMR-U,433.67500,433.67500,Low,75S,No,1,No,No,No,25K,None,None,Allow TX,No,Repeat,Slot1,radio-1,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: TG99 Simplex,RX ALL,Priority Contacts: TG9 LCL TS2,Priority Contacts: TG99 Simplex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,OFF,TX Contact,
37,Digital CH,S8 DMR-U,433.77500,433.77500,Low,75S,No,1,No,No,No,25K,None,None,Allow TX,No,Repeat,Slot1,radio-1,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: TG99 Simplex,RX ALL,Priority Contacts: TG9 LCL TS2,Priority Contacts: TG99 Simplex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,OFF,TX Contact,
38,Digital CH,C1 DMR-U,434.45000,434.45000,Low,75S,No,1,No,No,No,25K,None,None,Allow TX,No,Repeat,Slot1,radio-1,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: TG99 Simplex,RX ALL,Priority Contacts: TG9 LCL TS2,Priority Contacts: TG99 Simplex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,OFF,TX Contact,
39,Digital CH,C2 DMR-U,434.47500,434.47500,Low,75S,No,1,No,No,No,25K,None,None,Allow TX,No,Repeat,Slot1,radio-1,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: TG99 Simplex,RX ALL,Priority Contacts: TG9 LCL TS2,Priority Contacts: TG99 Simplex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,OFF,TX Contact,
40,Analog CH,S1 DMR-V,144.81250,144.88345,Low,180S,No,1,No,No,No,25K,None,None,Allow TX,No,Simplex,Slot1,radio-1,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: TG2 Europe,Custom,Priority Contacts: TG2 Europe,Priority Contacts: TG13 WW English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,OFF,TX Contact,
41,Analog CH,S2 DMR-V,144.82500,144.82500,Low,180S,No,1,No,No,No,25K,None,None,Allow TX,No,Simplex,Slot1,radio-1,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: TG2 Europe,Custom,Priority Contacts: TG2 Europe,Priority Contacts: TG13 WW English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,Yes,OFF,TX Contact,
42,Analog CH,S3 DMR-V,144.83750,144.83750,Low,180S,No,1,No,No,No,25K,None,None,Allow TX,No,Simplex,Slot1,radio-1,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: TG2 Europe,Custom,Priority Contacts: TG2 Europe,Priority Contacts: TG13 WW English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,Yes,OFF,TX Contact,
43,Analog CH,S4 DMR-V,144.85000,144.85000,Low,180S,No,1,No,No,No,25K,None,None,Allow TX,No,Simplex,Slot1,radio-1,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: TG2 Europe,Custom,Priority Contacts: TG2 Europe,Priority Contacts: TG13 WW English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,Yes,OFF,TX Contact,
44,Analog CH,S5 DMR-V,144.88345,144.88345,Low,180S,No,1,No,No,No,25K,None,None,Allow TX,No,Simplex,Slot1,radio-1,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: TG2 Europe,Custom,Priority Contacts: TG2 Europe,Priority Contacts: TG13 WW English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,Yes,OFF,TX Contact,
45,Analog CH,FFVL,143.98750,143.98750,Low,180S,No,1,No,No,No,25K,None,None,Allow TX,No,Simplex,Slot1,radio-1,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: TG2 Europe,Custom,Priority Contacts: TG2 Europe,Priority Contacts: TG13 WW English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,Yes,OFF,TX Contact,
46,Analog CH,SOS A,163.10000,163.10000,Low,180S,No,1,No,No,No,25K,None,None,Allow TX,No,Simplex,Slot1,radio-1,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: TG2 Europe,Custom,Priority Contacts: TG2 Europe,Priority Contacts: TG13 WW English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,Yes,OFF,TX Contact,
47,Analog CH,SOS E,161.30000,161.30000,Low,180S,No,1,No,No,No,25K,None,None,Allow TX,No,Simplex,Slot1,radio-1,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: TG2 Europe,Custom,Priority Contacts: TG2 Europe,Priority Contacts: TG13 WW English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,Yes,OFF,TX Contact,
48,Analog CH,CQ MOBILE-V,145.50000,145.50000,Low,180S,No,1,No,No,No,25K,None,None,Allow TX,No,Simplex,Slot1,radio-1,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: TG2 Europe,Custom,Priority Contacts: TG2 Europe,Priority Contacts: TG13 WW English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,Yes,OFF,TX Contact,
49,Analog CH,ISS VHF,145.80000,145.20000,Low,180S,No,1,No,No,No,25K,None,None,Allow TX,No,Simplex,Slot1,radio-1,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: TG2 Europe,Custom,Priority Contacts: TG2 Europe,Priority Contacts: TG13 WW English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,Yes,OFF,TX Contact,
50,Analog CH,VHF R0,145.60000,145.00000,Low,180S,No,1,No,No,No,25K,None,None,Allow TX,No,Simplex,Slot1,radio-1,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: TG2 Europe,Custom,Priority Contacts: TG2 Europe,Priority Contacts: TG13 WW English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,Yes,OFF,TX Contact,
51,Analog CH,VHF R0X,145.61250,145.01250,Low,180S,No,1,No,No,No,25K,None,None,Allow TX,No,Simplex,Slot1,radio-1,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: TG2 Europe,Custom,Priority Contacts: TG2 Europe,Priority Contacts: TG13 WW English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,Yes,OFF,TX Contact,
52,Analog CH,VHF R1,145.62500,145.02500,Low,180S,No,1,No,No,No,25K,None,None,Allow TX,No,Simplex,Slot1,radio-1,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: TG2 Europe,Custom,Priority Contacts: TG2 Europe,Priority Contacts: TG13 WW English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,Yes,OFF,TX Contact,
53,Analog CH,VHF R1X,145.63750,145.03750,Low,180S,No,1,No,No,No,25K,None,None,Allow TX,No,Simplex,Slot1,radio-1,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: TG2 Europe,Custom,Priority Contacts: TG2 Europe,Priority Contacts: TG13 WW English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,Yes,OFF,TX Contact,
54,Analog CH,VHF R2,145.65000,145.05000,Low,180S,No,1,No,No,No,25K,None,None,Allow TX,No,Simplex,Slot1,radio-1,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: TG2 Europe,Custom,Priority Contacts: TG2 Europe,Priority Contacts: TG13 WW English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,Yes,OFF,TX Contact,
55,Analog CH,VHF R2X,145.66250,145.06250,Low,180S,No,1,No,No,No,25K,None,None,Allow TX,No,Simplex,Slot1,radio-1,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: TG2 Europe,Custom,Priority Contacts: TG2 Europe,Priority Contacts: TG13 WW English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,Yes,OFF,TX Contact,
56,Analog CH,VHF R3,145.67500,145.07500,Low,180S,No,1,No,No,No,25K,None,None,Allow TX,No,Simplex,Slot1,radio-1,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: TG2 Europe,Custom,Priority Contacts: TG2 Europe,Priority Contacts: TG13 WW English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,Yes,OFF,TX Contact,
57,Analog CH,VHF R3X,145.68750,145.08750,Low,180S,No,1,No,No,No,25K,None,None,Allow TX,No,Simplex,Slot1,radio-1,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: TG2 Europe,Custom,Priority Contacts: TG2 Europe,Priority Contacts: TG13 WW English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,Yes,OFF,TX Contact,
58,Analog CH,VHF R4,145.70000,145.10000,Low,180S,No,1,No,No,No,25K,None,None,Allow TX,No,Simplex,Slot1,radio-1,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: TG2 Europe,Custom,Priority Contacts: TG2 Europe,Priority Contacts: TG13 WW English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,Yes,OFF,TX Contact,
59,Analog CH,VHF R4X,145.71250,145.11250,Low,180S,No,1,No,No,No,25K,None,None,Channel Free,No,Simplex,Slot1,radio-1,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: TG2 Europe,Custom,Priority Contacts: TG2 Europe,Priority Contacts: TG13 WW English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,Yes,OFF,TX Contact,
